state,season,crop_name,crop_stage,crop_stage_classified,advisory_index,advisory_code,advisory_title,advisory_type,advisory_class,rain_min,rain_max,rain_mean,temp_min,temp_max,rh_min,rh_max,rainydays_min,raindays_max,wind_min,wind_max,landtype,advisory_content,cropstage_week_start,cropstage_week_end,agro_week,day_of_month,month_of_year
Odisha,Rabi,Blackgram,Pre Sowing,Pre Sowing,1,OD-ALL-RB-BG-PS-Varietal selection and seed rate ,Varietal selection and seed rate ,Fixed,Variety,,,,,,,,,,,,,"Some developed varieties of Blackgram include TARM 1, TARM 2, Jyoti , Kamdev (OUM 11-5), Pusa Bold 1, Dhauli, Pragyan, Durga (OBGG-52), Shreya (IPM 02-14), Meha (IPM 99-125), LGG 460, TU 40.",,,Week 0,1,11
Odisha,Rabi,Blackgram,Land Prep & Sowing,Land Prep & Sowing,2,OD-ALL-RB-BG-LP-Land Preparation,Land Preparation,Fixed,Generic,0,5,,23,30,70,85,0,1,,,,"Farmers are advised to start land preparation immediately after the paddy harvest especially when grown under residual soil moisture after the harvest. Plough the field 2–3 times to break clods and obtain a fine tilth. Level the land properly to conserve residual moisture and ensure uniform germination. In areas with poor drainage, make broad beds and furrows or raised beds to avoid waterlogging. Apply well-decomposed FYM or compost @ 2 t/acre during the last ploughing to improve soil fertility and moisture-holding capacity. In case of dry soil, apply one pre-sowing irrigation to ensure uniform germination. Avoid deep sowing and ensure proper seed-soil contact. If soil moisture is inadequate, delay sowing until light rainfall or irrigation is available. Farmers should ensure proper field bunding to retain moisture and prevent runoff. In areas prone to moisture stress, apply light irrigation at flowering and pod formation stages, which are critical for yield improvement. Protect seedlings from pests like cutworm, termites.",,,Week 1,8,11
Odisha,Rabi,Blackgram,Land Prep & Sowing,Land Prep & Sowing,3,"OD-ALL-RB-BG-LP-Seed rate_Seed treatment
","Seed rate, Seed treatment
",Fixed,Seed rate and seed treatment,0,5,,23,30,70,85,0,1,,,,"Treat 10 kg of seeds are required for sowing in an acre area. Seed treatment should be done before 1 week of sowing with carbendazim @ 2 g/ kg or Carboxin 37.5 % + Thiram 37.5% D.S @ 2 -gram/ kg of seeds. On the day of sowing prepare a slurry of 20 g bacteria culture with jaggery @ 50 gram and 40 ml water for 1 kg seed and mix it with seeds, then shade dry and sow it in afternoon. Apply Trichoderma viride @ 4g / kg of seed or Pseudomonas fluorescens @ 10 g/kg seed. To increase the biological nitrogen fixation mix Rhizobium 200 g and PSB 250 g in 600 ml water per 10 kg of seed followed by drying for 12 hrs. in shade. Seeds are treated with Thiamethoxam 30% FS @ 10 ml/ kg To prevent sucking pest and with carbosulfan 25 EC @ 2g/ Kg of seed to prevent nematode infestation. Sow the seeds at 20 cm x 10 cm spacing after seed treatment is done.",,,Week 1,15,10
Odisha,Rabi,Blackgram,Germination & Seedling,Germination & Seedling,4,OD-ALL-RB-BG-GS-Basal Fertilizer,Basal Fertilizer management and spacing,Standard,Fertilizer,0,10,,22,30,70,85,0,1,,,,"Plough the field till fine tilth and apply 4 kg urea, 35 kg DAP, 13 kg MOP along with 2 tons well decomposed cowdung manure. Sow the seeds at 25 c.m x 10 c.m spacing after seed treatment is done. ",0,1,Week 2 ,23,10
Odisha,Rabi,Blackgram,Germination & Seedling,Germination & Seedling,5,OD-ALL-RB-BG-GS-Preemergence weed management,Preemergence weed management,Standard,Weed,0,5,,22,29,65,80,0,1,,,,"To manage weeds at early stages in these crops, spray pre-emergence herbicide Pendimethalin 30 % E.C @ 1 litre /acre at 1-2 DAS by mixing in 200-litre of water. ",1,2,Week 3,23,10
Odisha,Rabi,Blackgram,Germination & Seedling,Germination & Seedling,6,"OD-ALL-RB-BG-GS-Pest and disease (Stem fly, Root rot)","Pest and disease (Stem fly, Root rot)",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,1,2,Week 3 ,23,10
Odisha,Rabi,Blackgram,Early Vegetative,Early Vegetative,7,OD-ALL-RB-BG-EV-Post emergence weed Management,Post emergence weed Management,Standard,Weed,0,5,,22,29,65,80,0,1,,,, If pre-emergence herbicide is not applied during sowing than to manage weeds in these crops post emergence application of herbicide like Imazethapyr 10 % SL(For both narrow and broadleaf weeds) @ 300-ml/acre or Quizalofop-Ethyl 5 % EC (Only for narrow weeds) @ 400-ml/acre should be applied at 15-DAS by mixing it in 200 litre of water. Always use flat-fan or flood-jet nozzle and clean water for herbicide spraying.,1,2,Week 3 ,31,10
Odisha,Rabi,Blackgram,Vegetative Growth ,Vegetative Growth ,8,"OD-ALL-RB-BG-VG-Pest management (Aphids, Thrips, Leafhopper, Whitefly_Disease Management (Bacterial Wilt, Cercospora Leaf Spot, Anthracnose, Bacterial Leaf Spot/ Blight)","Pest management (Aphids, Thrips, Leafhopper, Whitefly.
Disease Management (Bacterial Wilt, Cercospora Leaf Spot, Anthracnose, Bacterial Leaf Spot/Blight)",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,2,3,Week 4,8,11
Odisha,Rabi,Blackgram,Flowering,Flowering,9,OD-ALL-RB-BG-F_Irrigation management,"Irrigation management 
",Dynamic,Irrigation,0,5,,20,28,60,75,0,1,,,,"During the flowering stage (30–45 DAS), Blackgram is highly sensitive to moisture stress, so maintaining adequate soil moisture is crucial. If there is no rainfall for 7–10 days, provide light irrigation (4–5 cm depth) using the furrow or check basin method, avoiding water stagnation. Ensure proper drainage to prevent diseases like powdery mildew and rust. Irrigate in the early morning or late afternoon to reduce evaporation losses. Mulching with dry straw or crop residues helps conserve soil moisture. Avoid over-irrigation, as it may cause flower drop. For better pod setting and uniform flowering, apply a foliar spray of 2% DAP solution or NAA @ 40 ppm during early flowering.",3,4,Week 5 ,15,11
Odisha,Rabi,Blackgram,Flowering ,Flowering,10,"OD-ALL-RB-BG-F_Pest management (Aphids, Whitefly)_Disease Management (Rust, Anthracnose, Bacterial Leaf Spot/Blight, Cercospora Leaf Spot, Powdery Mildew, Yellow Mosaic Virus)","Pest management (Aphid, Whitefly)
Disease Management (Rust, Anthracnose, Bacterial Leaf Spot/Blight, Cercospora Leaf Spot, powdery mildew, Yellow Mosaic Virus)
",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,4,5,"
Week 6",22,11
