season,crop_name,pest&disease_name,state,district,week1,week2,Tmin1,Tmin2,Tmax1,Tmax2,Tavg1,Tavg2,RHavg1,RHavg2,RHmax1,RHmax2,RHmin1,RHmin2,Rain1,Rain2,SSH1,SSH2,Wind1,Wind2,pest_slug
Rabi,Blackgram,Powdery Mildew,Odisha,Angul,5,9,17,20,28,32,,,,,79,85,55,61,4,10,7,9,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Balasore,5,9,18,22,28,32,,,,,82,88,60,66,3,9,6,8,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Bargarh,6,10,19,22,29,33,,,,,78,84,54,60,2,7,8,10,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Bhadrak,4,8,16,19,27,31,,,,,82,88,59,65,6,12,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Balangir,6,10,18,21,29,33,,,,,77,83,53,59,3,8,8,10,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Boudh,5,9,17,20,28,32,,,,,79,85,55,61,4,9,7,9,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Cuttack,5,9,17,20,27,31,,,,,81,87,58,64,5,10,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Deogarh,6,10,18,21,29,33,,,,,78,84,54,60,3,8,7,9,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Dhenkanal,5,9,17,20,28,32,,,,,80,86,56,62,4,9,7,9,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Gajapati,5,9,18,21,28,32,,,,,80,86,56,62,3,8,7,9,6,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Ganjam,5,9,18,21,28,32,,,,,81,87,57,63,4,9,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Jagatsinghapur,4,8,16,19,27,31,,,,,83,89,59,65,6,12,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Jajpur,4,8,16,19,27,31,,,,,82,88,59,65,6,11,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Jharsuguda,6,10,19,22,30,34,,,,,77,83,52,58,2,7,8,10,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Kalahandi,6,10,18,21,29,33,,,,,77,83,53,59,3,8,8,10,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Kandhamal,5,9,17,20,28,32,,,,,79,85,55,61,4,9,7,9,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Kendrapara,4,8,16,19,27,31,,,,,83,89,59,65,6,12,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Keonjhar,5,9,17,20,28,32,,,,,80,86,56,62,4,9,7,9,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Khordha,5,9,17,20,27,31,,,,,81,87,58,64,5,10,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Koraput,6,10,18,21,28,32,,,,,78,84,55,61,3,8,7,9,6,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Malkangiri,6,10,19,22,29,33,,,,,78,84,54,60,3,8,7,9,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Mayurbhanj,5,9,17,20,28,32,,,,,80,86,56,62,4,9,7,9,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Nabarangpur,6,10,19,22,29,33,,,,,77,83,54,60,3,8,7,9,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Nayagarh,5,9,17,20,28,32,,,,,80,86,56,62,4,9,7,9,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Nuapada,6,10,18,21,29,33,,,,,78,84,55,61,3,8,7,9,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Puri,4,8,16,19,27,31,,,,,83,89,59,65,6,12,6,8,5,9,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Rayagada,6,10,18,21,28,32,,,,,78,84,55,61,3,8,7,9,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Sambalpur,6,10,19,22,30,34,,,,,77,83,53,59,2,7,8,10,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Sonepur,6,10,19,22,30,34,,,,,77,83,53,59,3,8,8,10,6,10,powdery-mildew
Rabi,Blackgram,Powdery Mildew,Odisha,Sundargarh,6,10,18,21,29,33,,,,,78,84,55,61,3,8,7,9,6,10,powdery-mildew
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Angul,3,8,17,21,28,32,,,,,82,88,44,50,6,14,6,9,5,10,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Balasore,4,9,18,22,29,33,,,,,84,90,46,52,8,16,7,10,6,11,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Bargarh,3,8,16,20,30,34,,,,,80,86,42,48,4,12,7,9,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Bhadrak,4,9,18,22,29,33,,,,,85,91,47,53,7,15,6,9,6,11,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Balangir,3,8,15,19,30,34,,,,,81,87,40,46,5,13,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Boudh,3,8,16,20,29,33,,,,,82,88,41,47,5,13,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Cuttack,4,9,18,22,28,32,,,,,85,91,45,51,7,14,6,9,6,11,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Deogarh,3,8,16,20,30,34,,,,,82,88,42,48,5,12,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Dhenkanal,3,8,17,21,29,33,,,,,83,89,43,49,6,13,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Gajapati,4,9,17,21,28,32,,,,,84,90,44,50,7,14,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Ganjam,4,9,18,22,29,33,,,,,85,91,45,51,8,15,6,9,5,10,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Jagatsinghapur,4,9,19,23,29,33,,,,,86,92,47,53,8,15,6,9,6,11,yellow-mosaic-virus
