block_name,sub_divisi,district_n,state_name,Unq,latitude,longitude,Season,Crop_name,Sowing_date
Balianta,Bhubaneswar,Khurda,Odisha,181,20.24005024,85.91842087,,Blackgram,2025-11-23
Seragad,Bhanjanagar,Ganjam,Odisha,109,19.52151116,84.64671121,,Blackgram,2025-12-03
Umarkote,Nawarangpur,Nawarangpur,Odisha,247,19.697085,82.17762759,,Blackgram,2025-11-23
Hindol,Hindol,Dhenkanal,Odisha,77,20.64995891,85.29928517,,Blackgram,2025-12-07
Puri,Puri,Puri,Odisha,269,19.87128934,85.82618148,,Blackgram,2025-12-06
Nayagarh,Nayagarh,Nayagarh,Odisha,252,20.12399503,85.1104122,,Blackgram,2025-12-05
Phulbani,Kandhamal,Kandhamal,Odisha,155,20.4736896,84.15737064,,Blackgram,2025-12-07
Bamra,Kuchinda,Sambalpur,Odisha,281,22.01055348,84.41989149,,Blackgram,2025-12-07
Telkoi,Keonjhar,Keonjhar,Odisha,180,21.28838965,85.46436879,,Blackgram,2025-11-23
Boudh,Boudh,Boudh,Odisha,54,20.72057502,84.11843494,,Blackgram,2025-12-07
Tileibani,Deogarh,Deogarh,Odisha,73,21.53819318,84.62236599,,Blackgram,2025-12-07
Khurda,Khurda,Khurda,Odisha,189,20.15310359,85.58519225,,Blackgram,2025-11-23
Kotagarh,Baliguda,Kandhamal,Odisha,153,19.80364337,83.81494301,,Blackgram,2025-12-07
Patnagarh,Patnagarh,Bolangir,Odisha,48,20.75040755,83.13958058,,Blackgram,2025-11-30
Odagaon,Nayagarh,Nayagarh,Odisha,253,19.99747579,85.02502347,,Blackgram,2025-12-05
Ambabhona,Bargarh,Bargarh,Odisha,21,21.61416706,83.54401549,,Blackgram,2025-11-12
Bolangir,Bolangir,Bolangir,Odisha,43,20.70033611,83.39701886,,Blackgram,2025-11-30
Mohana,Parlakhemundi,Gajapati,Odisha,84,19.45841951,84.17348576,,Blackgram,2025-11-25
Narasinghpur,Athagarh,Cuttack,Odisha,65,20.50633449,85.08536349,,Blackgram,2025-12-03
Bhadrak,Bhadrak,Bhadrak,Odisha,35,21.07105304,86.51174406,,Blackgram,2026-01-07
Ghasipura,Anandapur,Keonjhar,Odisha,171,21.16853655,86.0570291,,Blackgram,2025-11-23
Gandia,Dhenkanal,Dhenkanal,Odisha,76,20.76776582,85.83184545,,Blackgram,2025-12-11
Marsaghai,Kendrapada,Kendrapada,Odisha,164,20.424087,86.45042801,,Blackgram,2026-01-10
Simulia,Baleswar,Baleswar,Odisha,19,21.17091555,86.61080908,,Blackgram,2025-12-15
Baliguda,Baliguda,Kandhamal,Odisha,147,20.22600988,83.82740528,,Blackgram,2025-12-07
Soro,Baleswar,Baleswar,Odisha,20,21.28280317,86.67486072,,Blackgram,2025-12-15
Oupada,Nilgiri,Baleswar,Odisha,17,21.37731985,86.59983215,,Blackgram,2025-12-15
Banarpal,Anugul,Anugul,Odisha,3,20.83552515,85.10885828,,Blackgram,2025-12-08
Bramhagiri,Puri,Puri,Odisha,261,19.81573019,85.65791168,,Blackgram,2025-11-24
Kujanga,Jagatsingpur,Jagatsingpur,Odisha,115,20.29259113,86.53567208,,Blackgram,2025-11-23
Jagatsingpur (P),Jagatsingpur,Jagatsingpur,Odisha,114,20.24743715,86.16903748,,Blackgram,2025-11-23
Jhumpura,Champua,Keonjhar,Odisha,175,21.85764083,85.56138169,,Blackgram,2025-11-23
Loisinga,Bolangir,Bolangir,Odisha,46,20.83621402,83.40963805,,Blackgram,2025-11-30
Bhubaneswar,Bhubaneswar,Khurda,Odisha,185,20.30820995,85.78901037,,Blackgram,2025-11-23
Dharakote,Bhanjanagar,Ganjam,Odisha,96,19.61551124,84.50765229,,Blackgram,2025-12-11
Ersama,Jagatsingpur,Jagatsingpur,Odisha,113,20.1754012,86.45289441,,Blackgram,2025-11-23
Attabira,Bargarh,Bargarh,Odisha,22,21.44932369,83.76544572,,Blackgram,2025-11-11
Padmapur,Gunupur,Rayagada,Odisha,279,19.28866976,83.88266365,,Blackgram,2025-12-07
Kundra,Jeypore,Koraput,Odisha,198,18.90766792,82.37399457,,Blackgram,2025-12-07
Bhanjanagar,Bhanjanagar,Ganjam,Odisha,92,20.01932926,84.51805168,,Blackgram,2025-12-07
Kakatpur,Puri,Puri,Odisha,264,19.96036069,86.17494357,,Blackgram,2025-11-25
Joda,Champua,Keonjhar,Odisha,176,22.01402701,85.40199047,,Blackgram,2025-11-23
Kanas,Puri,Puri,Odisha,265,19.97240985,85.6192189,,Blackgram,2025-12-04
Basudebpur,Bhadrak,Bhadrak,Odisha,34,21.08321214,86.77591199,,Blackgram,2026-01-08
Niali,Cuttack,Cuttack,Odisha,66,20.14669079,86.10401959,,Blackgram,2025-11-26
Baragaon,Sundargarh,Sundargarh,Odisha,298,22.21110512,84.2674236,,Blackgram,2025-11-23
Chandahandi,Nawarangpur,Nawarangpur,Odisha,238,19.83827086,82.48972184,,Blackgram,2025-11-24
Jagannathprasad,Bhanjanagar,Ganjam,Odisha,100,20.06844504,84.73597822,,Blackgram,2025-12-07
Athmallik,Athmallik,Anugul,Odisha,2,20.79256534,84.57015891,,Blackgram,2025-12-07
Tarbha,Sonepur,Sonepur,Odisha,294,20.69024002,83.66925267,,Blackgram,2025-12-07
Kaptipada,Kaptipada,Mayurbhanja,Odisha,222,21.45594212,86.4188414,,Blackgram,2025-12-04
Sundargarh,Sundargarh,Sundargarh,Odisha,311,22.04874804,84.12270073,,Blackgram,2025-11-23
Balipatna,Bhubaneswar,Khurda,Odisha,182,20.15227828,85.97717435,,Blackgram,2025-11-27
Subdega,Sundargarh,Sundargarh,Odisha,310,22.25795327,84.13461794,,Blackgram,2025-11-23
Kankadahad,Kamakhyanagar,Dhenkanal,Odisha,79,21.06692829,85.50789509,,Blackgram,2025-12-09
Rangeilunda,Berhampur,Ganjam,Odisha,107,19.2568163,84.81699444,,Blackgram,2026-01-03
Kesinga,Bhawanipatna,Kalahandi,Odisha,141,20.16443457,83.2490758,,Blackgram,2025-11-25
Badamba,Athagarh,Cuttack,Odisha,58,20.42835029,85.35429051,,Blackgram,2025-11-23
Khaprakhol,Patnagarh,Bolangir,Odisha,45,20.7736159,82.88574693,,Blackgram,2025-11-30
Binjharpur,Jajpur,Jajpur,Odisha,121,20.73637101,86.44871919,,Blackgram,2026-01-09
Narayanpatna,Koraput,Koraput,Odisha,202,18.83831856,83.12360922,,Blackgram,2025-12-09
Bellaguntha,Bhanjanagar,Ganjam,Odisha,91,19.84089853,84.61518844,,Blackgram,2025-12-11
Muruda,Baripada,Mayurbhanja,Odisha,227,21.85962289,86.93449282,,Blackgram,2025-12-04
Rajnagar,Kendrapada,Kendrapada,Odisha,167,20.6596681,86.85475527,,Blackgram,2026-01-08
